НТО ул. Авиационная, вл.68; Авиационная улица, дом 68; Северо-Западный административный округ; район Щукино; Компания ФРЕГАТ; 55.8097215134657; 37.4562557224584
НТО 26 Бакинских Комиссаров ул.,вл.1; внутригородская территория муниципальный округ Тропарево-Никулино, улица 26-ти Бакинских Комиссаров, дом 11; Западный административный округ; район Тропарёво-Никулино; Антарес; 55.6622355330147; 37.4841083332701
НТО Клязьминская ул., вл. 4; Клязьминская улица, дом 4; Северный административный округ; Дмитровский район; АЛИМПИС; 55.8836884514255; 37.5196556958512
НТО Проектируемый проезд 2309 (уч.2); внутригородская территория муниципальный округ Хамовники, Усачёва улица, дом 37, строение 2; Центральный административный округ; район Хамовники; Амо-пресс; 55.7218202159694; 37.5614879712154
НТО Мясницкий пр-д, вл. 4; Мясницкий проезд, дом 4, строение 1; Центральный административный округ; Басманный район; ЮРКОНСАЛТИНГ; 55.7683032501369; 37.6474191006591
НТО Богданова ул., вл. 2, к.1; внутригородская территория муниципальный округ Солнцево, улица Богданова, дом 2, корпус 1; Западный административный округ; район Солнцево; Антарес; 55.6567398019946; 37.4060866866726
НТО Богданова ул., д. 32; внутригородская территория муниципальный округ Солнцево, улица Богданова, дом 32; Западный административный округ; район Солнцево; Антарес; 55.6557279288277; 37.3995095193626
НТО Бульвар Дмитрия Донского, д.8; бульвар Дмитрия Донского, дом 8; Юго-Западный административный округ; район Северное Бутово; ГазТрейд; 55.5681773131587; 37.5746918173996
НТО Главмосстроя ул., д. 12; внутригородская территория муниципальный округ Солнцево, улица Главмосстроя, дом 12; Западный административный округ; район Солнцево; Антарес; 55.6533405170843; 37.4080762144192
НТО Шмитовский проезд, вл. 42-44; внутригородская территория муниципальный округ Пресненский, Шмитовский проезд, дом 44; Центральный административный округ; Пресненский район; Амо-пресс; 55.7549397227279; 37.5209590520723
НТО 1-я Вольская, д.1, корп.3; внутригородская территория муниципальный округ Некрасовка, 1-я Вольская улица, дом 1, корпус 3; Юго-Восточный административный округ; район Некрасовка; У Метро; 55.6840810549457; 37.9148622406268
НТО Керамический пр-д, вл.57, к.1; Керамический проезд, дом 57, корпус 1; Северный административный округ; район Восточное Дегунино; У Метро; 55.8785958382954; 37.5666627786247
НТО п. Первомайское, Рабочая ул., вл. 24 (напротив); поселение Первомайское, посёлок Первомайское, Рабочая улица, дом 12, строение 1; Троицкий административный округ; поселение Первомайское; КАП; 55.536392853129; 37.1523133771973
НТО Тверская ул., вл.9; Тверская улица, дом 9; Центральный административный округ; Тверской район; Антарес; 55.7591729914443; 37.6110138665134
НТО Поликарпова ул., вл.19, к.2, с.2; улица Поликарпова, дом 19, корпус 2, строение 2; Северный административный округ; Хорошёвский район; КАП; 55.7794788873577; 37.5471792330267
НТО Кировоградская ул., д.25; внутригородская территория муниципальный округ Чертаново Южное, Кировоградская улица, дом 25, корпус 1; Южный административный округ; район Чертаново Южное; СЕМЕЙНОЕ ЧТЕНИЕ; 55.5957654999239; 37.6004650749574
НТО Митинская ул. д.36, к.1; Митинская улица, дом 36, корпус 1; Северо-Западный административный округ; район Митино; СЕМЕЙНОЕ ЧТЕНИЕ; 55.8468169527373; 37.3614204265644
НТО ст. м. Улица Горчакова; улица Горчакова, дом 11; Юго-Западный административный округ; район Южное Бутово; СЕМЕЙНОЕ ЧТЕНИЕ; 55.5423691729351; 37.5321965132564
НТО ст.м.«Планерная» (южный выход); Планерная улица, дом 6, корпус 1; Северо-Западный административный округ; район Северное Тушино; СЕМЕЙНОЕ ЧТЕНИЕ; 55.8593552965819; 37.4365645158024
НТО ул. Стромынка, вл. 20; внутригородская территория муниципальный округ Сокольники, улица Стромынка, дом 20; Восточный административный округ; район Сокольники; СЕМЕЙНОЕ ЧТЕНИЕ; 55.7942942205509; 37.6992540660746
НТО ул.Хлобыстова, д.13А; улица Хлобыстова, дом 13А; Юго-Восточный административный округ; район Выхино-Жулебино; АЛФАВИТ; 55.71471; 37.820368
НТО Энтузиастов бульв., вл. 2 (ст. м. Римская); внутригородская территория муниципальный округ Таганский, бульвар Энтузиастов, дом 2; Центральный административный округ; Таганский район; МАКС ТНП; 55.7461133351344; 37.6815247936225
НТО Южнобутовская улица, вл.8; Южнобутовская улица, дом 8; Юго-Западный административный округ; район Южное Бутово; СЕМЕЙНОЕ ЧТЕНИЕ; 55.5451383979946; 37.5414225254431
НТО Чертановская ул., вл. 44; Чертановская улица, дом 44; Южный административный округ; район Чертаново Центральное; ГКС; 55.6089258587147; 37.5904597985568
НТО Дмитровское шоссе, вл. 29, к.1; Дмитровское шоссе, дом 29, корпус 1; Северный административный округ; Тимирязевский район; Краева Любовь Павловна; 55.8297454331864; 37.5718116297424
НТО Радужная ул., д. 18; город Московский, Радужная улица, дом 14, корпус 4; Новомосковский административный округ; поселение Московский; ЮРКОНСАЛТИНГ; 55.5878858657983; 37.3726928643774
НТО Первомайская ул., вл. 85; внутригородская территория муниципальный округ Измайлово, Первомайская улица, дом 85; Восточный административный округ; район Измайлово; АЛФАВИТ; 55.7934494633988; 37.8026790782713
НТО ул. Красный Казанец, д.1; внутригородская территория муниципальный округ Вешняки, улица Красный Казанец, дом 1Г; Восточный административный округ; район Вешняки; Шумилина Галина Геннадьевна; 55.7226891216374; 37.8043240351597
НТО Комсомольский пр-т, вл.22; Комсомольский проспект, дом 22; Центральный административный округ; район Хамовники; ПЕЧАТЬ СТОЛИЦЫ; 55.7275828936908; 37.5805733147127
НТО Милашенкова ул., д. 8; улица Милашенкова, дом 8; Северо-Восточный административный округ; Бутырский район; Азбука; 55.8247163603155; 37.5853329722556
НТО Открытое шоссе, д.9 с.4 (разворотный трамвайный круг); Открытое шоссе, дом 9, строение 4; Восточный административный округ; район Богородское; У Метро; 55.8142492308151; 37.7353819684977
НТО ул. Яблочкова вл. 21; внутригородская территория муниципальный округ Бутырский, улица Яблочкова, дом 21; Северо-Восточный административный округ; Бутырский район; Азбука; 55.8188907710095; 37.5767767850103
НТО Ф. Энгельса ул., д. 3-5 стр. 4; внутригородская территория муниципальный округ Басманный, улица Фридриха Энгельса, дом 3-5, строение 4; Центральный административный округ; Басманный район; СЕМЕЙНОЕ ЧТЕНИЕ; 55.7719859940746; 37.6800469887683
НТО пр. Дежнева, вл. 27дробь1; проезд Дежнёва, дом 27, корпус 1; Северо-Восточный административный округ; район Южное Медведково; АРЕАЛ; 55.8706144685558; 37.6364277175091
НТО Волоколамское шоссе, 92 к 3; Волоколамское шоссе, дом 92, корпус 3; Северо-Западный административный округ; район Покровское-Стрешнево; Азбука; 55.825733929144; 37.4361332315644
НТО Проспект Вернадского, 86 А; проспект Вернадского, дом 86А; Западный административный округ; район Тропарёво-Никулино; ИНВЕСТ ГРУПП; 55.6635220667721; 37.4821609721407
НТО Ферганский пр-д, вл.12; внутригородская территория муниципальный округ Выхино-Жулебино, Ферганский проезд, дом 12; Юго-Восточный административный округ; район Выхино-Жулебино; ИНВЕСТ ГРУПП; 55.6955114197524; 37.820182686093
НТО Дмитровское шоссе, вл. 5дробь1; Дмитровское шоссе, дом 5, корпус 1; Северный административный округ; Тимирязевский район; Мультитранс; 55.8131522861589; 37.5769402496331
НТО Бульвар Яна Райниса, вл. 45, к. 1; внутригородская территория муниципальный округ Южное Тушино, бульвар Яна Райниса, дом 45, корпус 1; Северо-Западный административный округ; район Южное Тушино; ГКС; 55.8501334814413; 37.405669836574
НТО Дыбенко ул., вл.28, стр.2; улица Дыбенко, дом 28, строение 3; Северный административный округ; район Ховрино; СТМ МАРКЕТ-ПЛЮС; 55.8739367553868; 37.484899600628
НТО Крылатские Холмы ул., вл. 32 , стр. 2; внутригородская территория муниципальный округ Крылатское, улица Крылатские Холмы, дом 32, корпус 2; Западный административный округ; район Крылатское; У Метро; 55.7647136077642; 37.4122221230166
НТО Малая Юшуньская ул., вл. 6 к.1; внутригородская территория муниципальный округ Зюзино, Малая Юшуньская улица, дом 6, корпус 1; Юго-Западный административный округ; район Зюзино; СЕМЕЙНОЕ ЧТЕНИЕ; 55.6544494970808; 37.5937983045013
НТО Земляной Вал ул., вл. 37, к.1 (уч.2); внутригородская территория муниципальный округ Басманный, улица Земляной Вал, дом 35, строение 1; Центральный административный округ; Басманный район; Антарес; 55.7559160703348; 37.6583559700338
НТО 2-я Владимирская ул., д.36дробь21; внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 36; Восточный административный округ; район Перово; ЛМЛ; 55.7508372711741; 37.7834357847904
НТО Зеленый пр-т, д.54; Зелёный проспект, дом 54; Восточный административный округ; район Новогиреево; ЛМЛ; 55.7518373105699; 37.8138716636419
НТО Бутырский Вал, вл. 2; внутригородская территория муниципальный округ Тверской, улица Бутырский Вал, дом 4; Центральный административный округ; Тверской район; АЛФАВИТ; 55.7767443930944; 37.5850955156664
НТО Марксистская ул., вл.2; внутригородская территория муниципальный округ Таганский, Марксистская улица, дом 2, строение 2; Центральный административный округ; Таганский район; АЛИМПИС; 55.7405199104296; 37.6564460688498
НТО Пл. Джавахарлала Неру, 1 (выход к тдробьк «Универ Сити»); площадь Джавахарлала Неру, дом 1; Западный административный округ; район Раменки; ЛМЛ; 55.6933238470178; 37.5339882004932
НТО Триумфальная площадь у 1-й Брестской ул.; внутригородская территория муниципальный округ Тверской, Триумфальная площадь, дом 1; Центральный административный округ; Тверской район; Азбука; 55.769343708451; 37.5952171211817
НТО Сергия Радонежского ул., д.12, к.1; внутригородская территория муниципальный округ Таганский, улица Сергия Радонежского, дом 12, корпус 1; Центральный административный округ; Таганский район; Азбука; 55.746652; 37.6780061
НТО ул.Снежная, 21; внутригородская территория муниципальный округ Свиблово, Снежная улица, дом 21/1; Северо-Восточный административный округ; район Свиблово; АРЕАЛ; 55.8550403989811; 37.6511449220458
НТО Киевская ул, вл. Д. 18с1 перес. С Можайским пер.; внутригородская территория муниципальный округ Дорогомилово, Киевская улица, дом 18; Западный административный округ; район Дорогомилово; Агентство Печати 41; 55.739291; 37.548294
НТО 2-я Тверская-Ямская улица, 10; 2-я Тверская-Ямская улица, дом 10; Центральный административный округ; Тверской район; СЕМЕЙНОЕ ЧТЕНИЕ; 55.7711758484786; 37.5943301344566
НТО 9-я Парковая ул., вл.21, корп.1; внутригородская территория муниципальный округ Измайлово, 9-я Парковая улица, дом 21, корпус 1; Восточный административный округ; район Измайлово; Антарес; 55.7939814124092; 37.7988041732758
НТО Авиаконструктора миля ул., д.8 к.1; внутригородская территория муниципальный округ Выхино-Жулебино, улица Авиаконструктора Миля, дом 8, корпус 1; Юго-Восточный административный округ; район Выхино-Жулебино; У Метро; 55.6846530164306; 37.8538535357673
НТО Авиамоторная, вл. 37; Авиамоторная улица, дом 37; Юго-Восточный административный округ; район Лефортово; МК-СЕРВИС; 55.7553381314506; 37.7161941921774
НТО Азовская ул., вл. 21; внутригородская территория муниципальный округ Зюзино, Азовская улица, дом 21; Юго-Западный административный округ; район Зюзино; Сосновский Андрей Владимирович; 55.653802; 37.59901
НТО Арбат, 54дробь2с3; улица Арбат, дом 54/2, строение 3; Центральный административный округ; район Арбат; СЕМЕЙНОЕ ЧТЕНИЕ; 55.7479621906944; 37.5836108938078
НТО Б. Полянка ул., вл. 28 к1; внутригородская территория муниципальный округ Якиманка, улица Большая Полянка, дом 28, корпус 1; Центральный административный округ; район Якиманка; СЕМЕЙНОЕ ЧТЕНИЕ; 55.7353602737106; 37.6191853456414
НТО Балаклавский проспект,16; Балаклавский проспект, дом 16; Юго-Западный административный округ; район Зюзино; У Метро; 55.641662; 37.604568
НТО Братеевская 16, к. 1; внутригородская территория муниципальный округ Братеево, Братеевская улица, дом 16, корпус 1; Южный административный округ; район Братеево; У Метро; 55.6335626619991; 37.7656064403735
НТО Буденного просп., вл. 29; внутригородская территория муниципальный округ Соколиная Гора, проспект Будённого, дом 29А; Восточный административный округ; район Соколиная Гора; СТМ МАРКЕТ-ПЛЮС; 55.7675266014444; 37.7309601070513
НТО Варшавское ш.,д. 158 к.2; внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 158, корпус 2; Южный административный округ; район Чертаново Южное; СЕМЕЙНОЕ ЧТЕНИЕ; 55.5833499964488; 37.5969331649677
НТО Генерала Кузнецова ул., д.26 к.1; внутригородская территория муниципальный округ Выхино-Жулебино, улица Генерала Кузнецова, дом 26, корпус 1; Юго-Восточный административный округ; район Выхино-Жулебино; У Метро; 55.684143; 37.854026
НТО Гоголевский бульвар, вл.1, стр.5; внутригородская территория муниципальный округ Хамовники, Гоголевский бульвар, дом 2; Центральный административный округ; район Хамовники; АРЕНА; 55.745316; 37.601052
НТО Дмитрия Донского бульвар, вл.16; бульвар Дмитрия Донского, дом 16; Юго-Западный административный округ; район Северное Бутово; СМАРТМАТРИКС; 55.5641495937624; 37.5718603578356
НТО Дмитровское ш., д. 113, корп. 1; Дмитровское шоссе, дом 113, корпус 1; Северный административный округ; Дмитровский район; У Метро; 55.8833449940109; 37.5416499888719
НТО Дубининская, 2; внутригородская территория муниципальный округ Замоскворечье, Дубининская улица, дом 2; Центральный административный округ; район Замоскворечье; СЕМЕЙНОЕ ЧТЕНИЕ; 55.728065174758; 37.6367508882443
НТО Зеленоград, у корп. 1136; внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1136; Зеленоградский административный округ; район Силино; Сейлс; 55.9928; 37.172843
НТО Зеленоград, у корп.1004; внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1004; Зеленоградский административный округ; район Силино; Сейлс; 55.9842833260855; 37.1794162447243
НТО Зеленоград, у корп.1501; внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 1501; Зеленоградский административный округ; район Крюково; Сейлс; 55.9835234989988; 37.1478471457424
НТО Зеленоград, у корп.1640; внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 1640; Зеленоградский административный округ; район Крюково; Сейлс; 55.97675; 37.160546
НТО Ивана Сусанина вл. 4 , кор.1; улица Ивана Сусанина, дом 4, корпус 1; Северный административный округ; район Западное Дегунино; СЕМЕЙНОЕ ЧТЕНИЕ; 55.8673980269636; 37.5258597072271
НТО Измайловский Вал д.2а с.1; внутригородская территория муниципальный округ Соколиная Гора, улица Измайловский Вал, дом 2; Восточный административный округ; район Соколиная Гора; Азбука; 55.7828995681165; 37.7190602620171
НТО Каширское ш., вл.84; внутригородская территория муниципальный округ Орехово-Борисово Северное, Каширское шоссе, дом 84, корпус 1; Южный административный округ; район Орехово-Борисово Северное; СТМ МАРКЕТ-ПЛЮС; 55.6237934041479; 37.7085022206444
НТО Красная Пресня, 1с3; улица Красная Пресня, дом 1, строение 3; Центральный административный округ; Пресненский район; У Метро; 55.7605160287697; 37.5767411563575
НТО Краснопрудная ул., д.1; внутригородская территория муниципальный округ Красносельский, Краснопрудная улица, дом 1; Центральный административный округ; Красносельский район; У Метро; 55.778568; 37.663674
НТО Кременчугская ул., вл. 4,; внутригородская территория муниципальный округ Фили-Давыдково, Кременчугская улица, дом 4, корпус 1; Западный административный округ; район Фили-Давыдково; СЕМЕЙНОЕ ЧТЕНИЕ; 55.7251603448359; 37.4600139583593
НТО Ленинградский пр-т., вл.74, корп.1; Ленинградский проспект, дом 74, корпус 1; Северный административный округ; район Аэропорт; ПРЕССА СЕГОДНЯ; 55.804925; 37.516817
НТО Ленинградский просп. д.62 А; Ленинградский проспект, владение 64, строение 25Б/Н; Северный административный округ; район Аэропорт; У Метро; 55.801327; 37.531422
НТО Ленинградский просп. д.74; Ленинградский проспект, дом 74А; Северный административный округ; район Аэропорт; У Метро; 55.805617321294; 37.5144521591843
НТО Ленинградский проспект, д.36, стр. 51; внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, дом 36, строение 52; Северный административный округ; район Аэропорт; Амо-пресс; 55.790328; 37.556246
НТО Ленинский просп., вл. 37А; внутригородская территория муниципальный округ Донской, Ленинский проспект, дом 37А; Южный административный округ; Донской район; АРДПП; 55.708722758379; 37.5875048472051
НТО Ленинский просп., д. 2 А; внутригородская территория муниципальный округ Якиманка, Ленинский проспект, дом 2А; Центральный административный округ; район Якиманка; У Метро; 55.7286770445233; 37.6111071078809
НТО Ленинский проспект, вл.110; Ленинский проспект, дом 110, корпус 1; Западный административный округ; район Проспект Вернадского; ГКС; 55.666675159065; 37.513270049258
НТО Люблинская , д.163дробь1; Люблинская улица, дом 163/1; Юго-Восточный административный округ; район Марьино; У Метро; 55.650864; 37.743949
НТО Люблинская , д.169; внутригородская территория муниципальный округ Марьино, Люблинская улица, дом 169; Юго-Восточный административный округ; район Марьино; У Метро; 55.648963; 37.745762
НТО Миклухо-Маклая ул., д.47А; улица Миклухо-Маклая, дом 47А; Юго-Западный административный округ; район Коньково; У Метро; 55.643617; 37.524044
НТО Нахимовский проспект, вл.51дробь21; внутригородская территория муниципальный округ Черемушки, Нахимовский проспект, дом 51/21; Юго-Западный административный округ; район Черёмушки; АЛИМПИС; 55.676817; 37.56205
НТО Новокузнецкая вл. 39; внутригородская территория муниципальный округ Замоскворечье, Новокузнецкая улица, дом 39; Центральный административный округ; район Замоскворечье; АЛИМПИС; 55.7324071262965; 37.6351948703989
НТО Оружейный пер,3с.1; внутригородская территория муниципальный округ Тверской, Оружейный переулок, дом 3, строение 1; Центральный административный округ; Тверской район; АЛИМПИС; 55.7703249940484; 37.5957589888028
НТО Островитянова ул., д.29дробь120; внутригородская территория муниципальный округ Коньково, улица Островитянова, дом 29/120; Юго-Западный административный округ; район Коньково; У Метро; 55.634881; 37.51901
НТО Перерва ул., д.56дробь2; внутригородская территория муниципальный округ Марьино, улица Перерва, дом 56/2; Юго-Восточный административный округ; район Марьино; У Метро; 55.658536; 37.748604
НТО Перовская ул., вл.6; внутригородская территория муниципальный округ Перово, Перовская улица, дом 6, корпус 1; Восточный административный округ; район Перово; СТМ МАРКЕТ-ПЛЮС; 55.747319801467; 37.7563954940104
НТО Планерная улица, д.7; внутригородская территория муниципальный округ Северное Тушино, Планерная улица, дом 7; Северо-Западный административный округ; район Северное Тушино; У Метро; 55.8617123828035; 37.4353531403197
НТО площадь Мясницкие Ворота, вл.1с.3; внутригородская территория муниципальный округ Басманный, Чистопрудный бульвар, дом 1А; Центральный административный округ; Басманный район; У Метро; 55.7650892461415; 37.6378632653957
НТО площадь Тверской заставы, д. 5; площадь Тверская Застава, дом 5; Центральный административный округ; Тверской район; У Метро; 55.7758843610391; 37.5823468542584
НТО площадь Тверской заставы, д. 7; площадь Тверская Застава, дом 7, строение 1; Центральный административный округ; Тверской район; У Метро; 55.7773277252664; 37.5823482771098
НТО пр. Стратонавтов, вл. 12; внутригородская территория муниципальный округ Покровское-Стрешнево, проезд Стратонавтов, дом 12, строение 1; Северо-Западный административный округ; район Покровское-Стрешнево; АРЕАЛ; 55.8276731738991; 37.4355569873699
НТО Преображенская площадь, д.8; внутригородская территория муниципальный округ Преображенское, Преображенская площадь, дом 8; Восточный административный округ; район Преображенское; У Метро; 55.7953329336155; 37.7135589357751
НТО Проспект Мира, вл. 38; внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 38; Центральный административный округ; Мещанский район; АЛИМПИС; 55.7794837410313; 37.6334177405661
НТО Проспект Мира, вл. 41; внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 41, строение 1; Центральный административный округ; Мещанский район; ПЕЧАТЬ СТОЛИЦЫ; 55.7816024034576; 37.6328706214693
НТО Проспект Мира, вл. 49; внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 49; Центральный административный округ; Мещанский район; ЮРКОНСАЛТИНГ; 55.7832117249621; 37.6339407933654
НТО Профсоюзная ул., д. 39; внутригородская территория муниципальный округ Черемушки, Профсоюзная улица, дом 39; Юго-Западный административный округ; район Черёмушки; У Метро; 55.670767; 37.55568
НТО Профсоюзная ул., д. 56; внутригородская территория муниципальный округ Обручевский, Профсоюзная улица, дом 56; Юго-Западный административный округ; Обручевский район; У Метро; 55.669415; 37.55318
НТО Профсоюзная ул., д.109 к.2; Профсоюзная улица, дом 109, корпус 2; Юго-Западный административный округ; район Коньково; СЕМЕЙНОЕ ЧТЕНИЕ; 55.633636601836; 37.520388311201
НТО Профсоюзная ул., д.43 к.1; внутригородская территория муниципальный округ Черемушки, Профсоюзная улица, дом 43, корпус 1; Юго-Западный административный округ; район Черёмушки; Сосновский Андрей Владимирович; 55.6694042248992; 37.554118664864
НТО Профсоюзная ул.,д.26дробь44; внутригородская территория муниципальный округ Академический, Профсоюзная улица, дом 26/44; Юго-Западный административный округ; Академический район; У Метро; 55.678508; 37.562918
НТО Профсоюзная ул.,д.2дробь22; внутригородская территория муниципальный округ Академический, Профсоюзная улица, дом 2/22; Юго-Западный административный округ; Академический район; У Метро; 55.687349; 37.572464
НТО Пятницкая улица, 21с2 (площадь перед метро ); внутригородская территория муниципальный округ Замоскворечье, Пятницкая улица, дом 21, строение 2; Центральный административный округ; район Замоскворечье; У Метро; 55.7425367052982; 37.6288060354809
НТО Рязанский пр-т, д.46; внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 46; Юго-Восточный административный округ; Рязанский район; У Метро; 55.716556; 37.792523
НТО Рязанский пр-т, д.46 к.4; внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 46, корпус 4; Юго-Восточный административный округ; Рязанский район; У Метро; 55.716474; 37.793047
НТО Семеновская наб., вл.3дробь1с11; Семёновская набережная, дом 3/1, строение 11; Центральный административный округ; Басманный район; СЕМЕЙНОЕ ЧТЕНИЕ; 55.78085; 37.70509
НТО Семеновская площадь д.1; Семёновская площадь, дом 1; Восточный административный округ; район Соколиная Гора; У Метро; 55.782455; 37.719849
НТО Симоновский Вал ул., 13; внутригородская территория муниципальный округ Южнопортовый, улица Симоновский Вал, дом 13, корпус 1; Юго-Восточный административный округ; Южнопортовый район; СТМ МАРКЕТ-ПЛЮС; 55.7235849467879; 37.6641729678635
НТО Симферопольский бульвар, вл. 24; Симферопольский бульвар, дом 24, корпус 1; Юго-Западный административный округ; район Зюзино; Амо-пресс; 55.64807464332; 37.6049568471653
НТО Смоленская площадь13дробь21; внутригородская территория муниципальный округ Арбат, Смоленская площадь, дом 13/21; Центральный административный округ; район Арбат; У Метро; 55.74877593328; 37.5821676374787
НТО Снежная ул. Д. 28; внутригородская территория муниципальный округ Свиблово, Снежная улица, дом 28; Северо-Восточный административный округ; район Свиблово; У Метро; 55.855721; 37.654837
НТО ст. м. Волжская (выход в парк); внутригородская территория муниципальный округ Текстильщики, улица Шкулёва, дом 4, строение 8; Юго-Восточный административный округ; район Текстильщики; У Метро; 55.6915797387625; 37.754505
НТО ст. м. Ленинский пр-т (сев. выход); внутригородская территория муниципальный округ Донской, Ленинский проспект, дом 37А; Южный административный округ; Донской район; АРДПП; 55.7085521798137; 37.5876699499462
НТО ст.м Чеховская; Страстной бульвар, дом 2; Центральный административный округ; Тверской район; СЕМЕЙНОЕ ЧТЕНИЕ; 55.7658210918941; 37.6075937116352
НТО ст.м. Жулебино (выход на ул. Авиконструктора Миля); внутригородская территория муниципальный округ Выхино-Жулебино, улица Авиаконструктора Миля, дом 7; Юго-Восточный административный округ; район Выхино-Жулебино; У Метро; 55.684936; 37.8541
НТО Старокачаловская ул., вл.3 к.3; внутригородская территория муниципальный округ Северное Бутово, Старокачаловская улица, дом 3, корпус 3; Юго-Западный административный округ; район Северное Бутово; КАП; 55.5699319777229; 37.5820661137329
НТО Стратонавтов проезд, д.8А; проезд Стратонавтов, дом 8А; Северо-Западный административный округ; район Покровское-Стрешнево; У Метро; 55.8276760797375; 37.4363514571633
НТО Строгинский бульвар, д.26, к.2; внутригородская территория муниципальный округ Строгино, Строгинский бульвар, дом 26, корпус 2; Северо-Западный административный округ; район Строгино; У Метро; 55.802819; 37.405552
НТО Судостроительная ул., вл.37дробь11; Судостроительная улица, дом 37/11; Южный административный округ; район Нагатинский Затон; ИНВЕСТ ГРУПП; 55.6843626457048; 37.6864566873385
НТО Сущевская ул., вл.9; внутригородская территория муниципальный округ Тверской, Сущёвская улица, дом 9; Центральный административный округ; Тверской район; У Метро; 55.7803932156124; 37.6017043176353
НТО Тверская улица, 18; внутригородская территория муниципальный округ Тверской, Тверская улица, дом 18, корпус 1; Центральный административный округ; Тверской район; АЛИМПИС; 55.7660284776885; 37.6033402727176
НТО Тургеневская площадь, 3 coop 1; Тургеневская площадь, дом 3, сооружение 1; Центральный административный округ; Красносельский район; СЕМЕЙНОЕ ЧТЕНИЕ; 55.7655624450576; 37.6376859502717
НТО ул. Декабристов д.21; улица Декабристов, дом 21; Северо-Восточный административный округ; район Отрадное; У Метро; 55.8641207482131; 37.6061472204286
НТО ул. Динамовская 1а; внутригородская территория муниципальный округ Таганский, Динамовская улица, дом 1А; Центральный административный округ; Таганский район; СЕМЕЙНОЕ ЧТЕНИЕ; 55.7324479458967; 37.6645033489236
НТО ул.Бутырский вал, 8дробь3с1; внутригородская территория муниципальный округ Тверской, улица Бутырский Вал, дом 8/3, строение 1; Центральный административный округ; Тверской район; У Метро; 55.7779290583753; 37.5856547313749
НТО ул.Грузинский вал,31с2; улица Грузинский Вал, дом 31, строение 1; Центральный административный округ; Тверской район; У Метро; 55.774841; 37.581343
НТО ул.Лесная,вл.1; внутригородская территория муниципальный округ Тверской, Лесная улица, дом 1/2; Центральный административный округ; Тверской район; У Метро; 55.777461; 37.585482
НТО ул.М.Неделина, вл.14; внутригородская территория муниципальный округ Можайский, улица Маршала Неделина, дом 14, корпус 1; Западный административный округ; Можайский район; Амо-пресс; 55.7255890769904; 37.4094780455153
НТО ул.Малая Юшуньская, вл.1В с.2; внутригородская территория муниципальный округ Зюзино, Азовская улица, дом 22, строение 1; Юго-Западный административный округ; район Зюзино; У Метро; 55.653057; 37.597163
НТО ул.Новослободская,вл.16; внутригородская территория муниципальный округ Тверской, Новослободская улица, дом 16; Центральный административный округ; Тверской район; У Метро; 55.7820175078001; 37.5987626740381
